"";"invader";"address";"invaders.geo"
"1";"Space Invader NY_X001";"161 Hester St, new york city";"161 Hester St, New York, NY 10013#40.71771#-73.9964"
"2";"Space Invader NY_X002";" 4 Wyckoff Ave, new york city";"4 Wyckoff Ave, Brooklyn, NY 11237#40.70674#-73.92359"
"3";"Space Invader NY_X003";" 143 8th Ave, new york city";"143 8th Ave, New York, NY 10011#40.74192#-74.00136"
"4";"Space Invader NY_X004";" 89 Avenue A, new york city";"89 Avenue A, New York, NY 10009#40.7254#-73.98419"
"5";"Space Invader NY_X005";" 132 St Marks Pl, new york city";"132 St Marks Pl, New York, NY 10009#40.72668#-73.98336"
"6";"Space Invader NY_X006";" 96 St Marks Pl, new york city";"96 St Marks Pl, New York, NY 10009#40.7272#-73.98493"
"7";"Space Invader NY_X007";" 176 Delancey St, new york city";"176 Delancey St, New York, NY 10002#40.71781#-73.985"
"8";"Space Invader NY_X008";" E 3rd St, new york city";"E 3rd St, New York, NY 10003#40.7258600019081#-73.9905349972022"
"9";"Space Invader NY_X009";" 1st Ave, new york city";"1st Ave, New York, NY 10065#40.7623350001105#-73.9600000005416"
"10";"Space Invader NY_X010";" 9th Ave, new york city";"9th Ave, New York, NY 10014#40.7406191377359#-74.0056376275386"
"11";"Space Invader NY_X011";" 360 Troutman St, new york city";"360 Troutman St, Brooklyn, NY 11237#40.70553#-73.92373"
"12";"Space Invader NY_X012";" 155 Grand St, new york city";"155 Grand St, New York, NY 10013#40.71989#-73.99899"
"13";"Space Invader NY_X013";" 505 W 24th St, new york city";"505 W 24th St, New York, NY 10011#40.74877#-74.00408"
"14";"Space Invader NY_X014";" 22 Bond St, new york city";"22 Bond St, New York, NY 10012#40.72661#-73.99381"
"15";"Space Invader NY_X015";" 24 Watts St, new york city";"24 Watts St, New York, NY 10013#40.7235563381102#-74.0041569541917"
"16";"Space Invader NY_X016";" 183 Bowery, new york city";"183 Bowery, New York, NY 10002#40.72048#-73.99374"
"17";"Space Invader NY_X017";" 235 Bowery, new york city";"235 Bowery, New York, NY 10002#40.7224#-73.993"
"18";"Space Invader NY_X018";" 115 Delancey St, new york city";"115 Delancey St, New York, NY 10002#40.71827#-73.98806"
"19";"Space Invader NY_X019";" 1 Spring St, new york city";"1 Spring St, New York, NY 10012#40.72116#-73.99413"
"20";"Space Invader NY_X020";" 143 E Houston St, new york city";"143 E Houston St, New York, NY 10002#40.72312#-73.98994"
"21";"Space Invader NY_X021";" 66 Rivington St, new york city";"66 Rivington St, New York, NY 10002#40.72066#-73.98999"
"22";"Space Invader NY_X022";" 10th Ave, new york city";"10th Ave, New York, NY 10011#40.7480250002486#-74.003930001209"
"23";"Space Invader NY_X023";" 8th Ave, new york city";"8th Ave, New York, NY 10014#40.7386578581304#-74.0036298204146"
"24";"Space Invader NY_X024";" Broadway, new york city";"New York, NY#40.7145500183105#-74.0071411132812"
"25";"Space Invader NY_X025";" Bowery, new york city";"Bowery, NY#40.7252082824707#-73.9904022216797"
"26";"Space Invader NY_X026";" E Houston St, new york city";"E Houston St, New York, NY 10012#40.7250199696149#-73.9951150179573"
"27";"Space Invader NY_X027";" Crosby St, new york city";"Crosby St, New York, NY 10013#40.7209150007611#-73.9994600031865"
"28";"Space Invader NY_X028";" Bowery, new york city";"Bowery, NY#40.7252082824707#-73.9904022216797"
"29";"Space Invader NY_X029";" 1 Howard St, new york city";"1 Howard St, New York, NY 10013#40.71969333#-74.00073333"
